City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,nueve de julio,-35.4444,-60.8831,18.31,92,100,2.68,AR,1718323179
83,mount pearl,47.5166,-52.7813,13.58,89,0,3.13,CA,1718322950
84,hailar,49.2,119.7,10.66,93,100,5.23,CN,1718323246
85,copiapo,-27.3667,-70.3333,12.46,73,10,2.49,CL,1718322974
86,grytviken,-54.2811,-36.5092,0.01,96,87,7.45,GS,1718323158
87,ust-nera,64.5667,143.2,16.58,49,91,0.19,RU,1718323247
88,kyren,51.6828,102.1408,16.51,62,9,0.35,RU,1718323247
89,la'ie,21.6477,-157.9253,29.98,73,34,4.47,US,1718323248
90,warrnambool,-38.3833,142.4833,9.89,77,100,4.96,AU,1718323248
91,obuase,6.206,-1.6619,22.17,100,96,0.96,GH,1718323248
92,ushuaia,-54.8,-68.3,-0.19,100,100,6.17,AR,1718323227
93,leninskoye,41.7589,69.3864,17.15,46,40,2.38,KZ,1718323248
94,northam,51.0333,-4.2167,14.25,94,100,7.76,GB,1718323248
95,belomorsk,64.5232,34.7668,9.95,86,27,0.67,RU,1718323248
96,happy valley-goose bay,53.3168,-60.3315,20.17,64,75,3.6,CA,1718323211
97,braganca,-1.0536,-46.7656,22.53,100,85,0.44,BR,1718323249
98,longyearbyen,78.2186,15.6401,2.91,75,20,7.72,SJ,1718322951
99,mahilyow,53.9139,30.3364,10.84,76,52,2.41,BY,1718323249
100,badger,64.8,-147.5333,18.88,71,75,4.63,US,1718323204
101,severnoye,56.3491,78.3619,17.77,82,11,2.24,RU,1718322988
102,berdigestyakh,62.0989,126.6992,21.01,45,31,1.28,RU,1718323249
103,pustoshka,56.3355,29.369,11.19,65,69,1.8,RU,1718323250
104,tchibanga,-2.85,11.0333,21.11,94,38,1.0,GA,1718323250
105,canto del llano,8.1761,-80.973,24.81,92,100,2.24,PA,1718323250
106,baruun-urt,46.6806,113.2792,13.44,59,86,7.82,MN,1718323250
107,flying fish cove,-10.4217,105.6791,25.82,88,100,3.6,CX,1718322996
108,nova sintra,14.8667,-24.7167,23.13,83,14,12.61,CV,1718323250
109,qaqortoq,60.7167,-46.0333,3.93,76,8,2.58,GL,1718322951
110,fort st. john,56.2499,-120.8529,18.94,24,40,3.09,CA,1718323047
111,smara,26.7384,-11.6719,18.86,76,5,6.05,EH,1718323251
112,hamilton,39.1834,-84.5333,30.97,43,0,5.14,US,1718322725
113,kodiak,57.79,-152.4072,11.73,76,100,4.12,US,1718322971
114,sitka,57.0531,-135.33,13.94,62,75,3.09,US,1718322964
115,yuzhno-kurilsk,44.0306,145.8556,11.32,95,100,1.92,RU,1718323251
116,panacan,9.2463,118.4082,28.03,79,100,0.86,PH,1718323251
117,de aar,-30.6497,24.0123,9.63,43,0,1.33,ZA,1718323251
118,port elizabeth,-33.918,25.5701,13.16,88,0,3.09,ZA,1718323251
119,mapastepec,15.4333,-92.9,24.0,91,100,1.19,MX,1718323251
120,tazovsky,67.4667,78.7,4.28,86,68,4.58,RU,1718323252
121,namibe,-15.1961,12.1522,20.85,58,0,1.99,AO,1718322974
122,altinekin,38.3078,32.8686,23.44,41,8,3.38,TR,1718323252
123,chos malal,-37.3781,-70.2709,6.78,86,67,3.69,AR,1718323252
124,bredasdorp,-34.5322,20.0403,11.52,84,13,1.28,ZA,1718323252
125,ha'il,27.5219,41.6907,29.01,16,0,2.06,SA,1718323252
126,saint croix,17.7397,-64.7388,27.2,79,12,1.34,VI,1718323252
127,sanya,18.2431,109.505,31.09,84,75,1.0,CN,1718323252
128,iqaluit,63.7506,-68.5145,0.85,93,100,4.12,CA,1718322956
129,mumford,5.2618,-0.759,25.61,88,56,4.68,GH,1718323252
130,pierre,44.3683,-100.351,29.04,28,0,2.68,US,1718323205
131,bereeda,11.8704,51.0579,30.24,65,14,2.56,SO,1718323253
132,dabeiba,7.0017,-76.2672,27.31,80,95,0.45,CO,1718323113
133,andovoranto,-18.95,49.1,20.53,94,61,1.91,MG,1718323253
134,geraldton,-28.7667,114.6,13.23,82,68,3.09,AU,1718322913
135,bangassou,4.7413,22.8184,20.4,97,36,0.82,CF,1718323253
136,tongouson,5.0214,120.1328,26.54,83,100,4.18,PH,1718323253
137,buurhakaba,2.8026,44.0781,21.81,92,75,4.29,SO,1718323253
138,karratha,-20.7377,116.8463,22.59,51,29,0.57,AU,1718323253
139,keflavik,64.0049,-22.5624,11.95,87,100,7.2,IS,1718323253
140,praia da vitoria,38.7333,-27.0667,20.98,100,75,5.77,PT,1718322990
141,ulsteinvik,62.3432,5.8487,8.51,93,93,0.77,NO,1718323006
142,anadyr,64.75,177.4833,4.28,100,75,6.0,RU,1718322959
143,nadi,-17.8,177.4167,29.0,61,20,4.63,FJ,1718323254
144,pades,45.0167,22.85,14.1,93,19,2.82,RO,1718323254
145,piton saint-leu,-21.2196,55.3151,22.04,64,0,2.57,RE,1718323254
146,natal,-5.795,-35.2094,25.36,94,75,5.14,BR,1718322744
147,nadvoitsy,63.8667,34.3167,9.66,86,44,1.43,RU,1718323254
148,kolonia town,6.964,158.206,28.0,89,100,5.14,FM,1718322991
149,valparaiso,-33.0393,-71.6273,15.0,69,100,4.63,CL,1718323192
150,kingston,17.997,-76.7936,29.53,74,20,7.2,JM,1718322670
151,toliara,-23.35,43.6667,19.99,88,0,2.34,MG,1718323254
152,touros,-5.1989,-35.4608,25.2,88,47,5.51,BR,1718323004
153,howrah,22.5892,88.3103,30.0,89,40,5.14,IN,1718323255
154,lazaro cardenas,17.9583,-102.2,28.16,74,100,2.51,MX,1718323255
155,saipan,15.1355,145.701,30.39,79,40,6.17,MP,1718323002
156,iskateley,67.6803,53.1512,8.9,84,95,4.02,RU,1718323255
157,enewetak,11.3474,162.3373,27.99,82,99,9.59,MH,1718323255
158,new norfolk,-42.7826,147.0587,8.29,69,96,0.8,AU,1718322982
159,san patricio,28.017,-97.5169,35.4,55,45,6.83,US,1718323002
160,iquique,-20.2208,-70.1431,17.02,81,19,2.21,CL,1718323033
161,isafjordur,66.0755,-23.124,10.36,75,100,1.76,IS,1718323255
162,amahai,-3.3333,128.9167,26.32,83,100,2.54,ID,1718322982
163,punta del este,-34.9667,-54.95,24.06,57,100,4.63,UY,1718323003
